J.D.-2400000,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_C10,rel_flux_C11,rel_flux_C12,rel_flux_C13,rel_flux_C14,rel_flux_C15,rel_flux_C16,rel_flux_C17,rel_flux_C18,rel_flux_C19,rel_flux_C20,rel_flux_C21,rel_flux_C22,rel_flux_C23,rel_flux_C24,rel_flux_C25
60010.6111,0.019605705,0.024036047,0.024798288,0.017888077,0.019790261,0.021492258,0.020946118,0.018358228,0.024313613,0.016050559,0.016006323,0.014762687,0.046585358,0.00896841,0.071826663,0.059599216,0.057572346,0.00985018,0.088105051,0.003229343,0.014964135,0.005493717,0.056147815,0.010907267
60010.61185,0.019640027,0.024196293,0.025199915,0.018001523,0.019940072,0.021703472,0.020455171,0.018359449,0.024577234,0.015951064,0.015788876,0.01496529,0.04650385,0.009119798,0.071042024,0.059841656,0.057273752,0.010166542,0.088131773,0.003101108,0.015011365,0.005434346,0.056391314,0.010938125
60010.6126,0.019251498,0.023833688,0.025277233,0.017798877,0.019836767,0.021377139,0.020406552,0.018547648,0.024253836,0.016185386,0.015866146,0.014801259,0.046988602,0.008925733,0.071023864,0.059979785,0.057609736,0.009780395,0.087863978,0.003401252,0.014936274,0.005462194,0.056716037,0.010722172
60010.61336,0.019318288,0.023774039,0.025197298,0.018018754,0.01961332,0.0216388,0.020676031,0.018631082,0.02431252,0.01606147,0.015802771,0.014828807,0.046267593,0.009040313,0.071119532,0.060092781,0.057334293,0.009807571,0.088366819,0.00288459,0.015132771,0.005377846,0.056226448,0.010682229
60010.61411,0.019389902,0.023949184,0.02507865,0.018024861,0.01977249,0.021458311,0.020293772,0.018308759,0.024130188,0.015909195,0.015688287,0.014740697,0.04665312,0.008918056,0.07124441,0.059609372,0.057632204,0.010055455,0.088226427,0.003359113,0.014906517,0.005400789,0.056667286,0.011002493
60010.61486,0.019272725,0.02387042,0.025109635,0.017870796,0.019897506,0.021421594,0.020691125,0.018377808,0.024361296,0.016092974,0.015866564,0.014491554,0.046656094,0.008872942,0.071457533,0.060041508,0.057759926,0.009836625,0.088089473,0.003159013,0.015175641,0.005218467,0.056223304,0.010931882
60010.6156,0.019280744,0.023806435,0.024973832,0.01810874,0.019576776,0.021498362,0.020612351,0.018534512,0.024393466,0.016177544,0.015744509,0.014475346,0.046670597,0.0089836,0.071633866,0.059955208,0.057713576,0.009878821,0.08857505,0.003167458,0.014999976,0.005355084,0.056143464,0.010844049
60010.61711,0.019092263,0.024020302,0.02503865,0.017941598,0.019869063,0.021967503,0.020683589,0.018428425,0.024263252,0.016032246,0.015721657,0.014844148,0.046400249,0.009161413,0.071067919,0.059945267,0.05729138,0.009862742,0.088251148,0.003027049,0.015044028,0.005448399,0.056795857,0.010815435
60010.61786,0.019064951,0.023879866,0.025071516,0.018102703,0.019422328,0.021561226,0.020383855,0.018478694,0.024490814,0.016236557,0.015583426,0.01478409,0.046877491,0.008913514,0.071240493,0.059852862,0.05775804,0.009840329,0.088398199,0.003432441,0.014998068,0.005434215,0.056478008,0.010902075
60010.61861,0.019276899,0.023865129,0.025246435,0.017951265,0.019707521,0.021961544,0.020542397,0.018328602,0.024392191,0.01611351,0.015596395,0.014745624,0.046133705,0.00910311,0.07122758,0.059919945,0.057338821,0.009783104,0.088468564,0.003034456,0.015247724,0.005479442,0.055752868,0.010805501
60010.61936,0.019622426,0.023880792,0.025430332,0.017913422,0.019681514,0.021690453,0.020558271,0.018410909,0.024543261,0.01579936,0.01585398,0.014511294,0.046442345,0.008989132,0.071115621,0.059849372,0.057360812,0.009828043,0.087621344,0.003238787,0.015076461,0.005571885,0.056193872,0.010742987
60010.62012,0.01921145,0.024022123,0.024905568,0.017799116,0.019561995,0.021883476,0.020645539,0.018583701,0.024528539,0.016193748,0.015683592,0.014595937,0.046368316,0.008739227,0.07112681,0.060070254,0.057466203,0.009970339,0.087454569,0.003206341,0.015065508,0.005505389,0.055777614,0.010983603
60010.62086,0.019030202,0.02384,0.025062813,0.01802582,0.019513879,0.021557482,0.020464424,0.018556895,0.02453038,0.01613644,0.015577001,0.014805698,0.046026407,0.00884731,0.071164567,0.060187159,0.057562892,0.009919724,0.088141632,0.003285309,0.014863301,0.005575251,0.055993329,0.010789342
60010.62161,0.019069452,0.023752862,0.024859583,0.018111005,0.019577872,0.021494956,0.020552456,0.018387929,0.024316342,0.016149046,0.016057545,0.014711531,0.046341372,0.008617028,0.07139415,0.059811851,0.057716694,0.009882614,0.088218754,0.003481526,0.014940421,0.005350851,0.056606914,0.010835008
60010.62236,0.019123097,0.024157267,0.025153596,0.018173821,0.019610662,0.021663801,0.02036521,0.018490107,0.02484854,0.016364025,0.01558175,0.014643162,0.046680341,0.008860807,0.071000153,0.060087426,0.057123482,0.009996248,0.088132139,0.003204873,0.015025545,0.005176018,0.056504375,0.010711941
60010.62311,0.019265899,0.024117138,0.025130502,0.017857057,0.019245243,0.021846224,0.020765558,0.018419638,0.024604169,0.016551383,0.015610761,0.014720537,0.046263345,0.008888087,0.071243628,0.059864892,0.057579448,0.010078177,0.087985646,0.003107485,0.014981321,0.005461504,0.0564585,0.011015233
60010.62387,0.019073062,0.024062393,0.025175046,0.017984198,0.019594256,0.021510086,0.020735793,0.018592648,0.024779746,0.016236674,0.01551133,0.014602049,0.04657786,0.008841049,0.071321305,0.060164626,0.057680061,0.009745702,0.088669899,0.003374662,0.015032854,0.005169369,0.056696609,0.010701114
60010.62462,0.019403054,0.02415688,0.025094684,0.017878071,0.019291031,0.021554252,0.02058335,0.018489243,0.024336802,0.016043019,0.015637309,0.014788932,0.046772765,0.008824949,0.071845263,0.060007707,0.057190025,0.009874353,0.088325839,0.003320069,0.014931929,0.005475059,0.056388118,0.010760357
60010.62537,0.019188028,0.024158934,0.025142536,0.017926327,0.01927517,0.021569133,0.020526248,0.018716081,0.024732216,0.016206553,0.015638207,0.014924543,0.046802013,0.009077356,0.07130914,0.059682756,0.057196299,0.009763186,0.087755861,0.003235349,0.014865659,0.005428991,0.056460031,0.010651502
60010.62612,0.019362626,0.023952851,0.025227173,0.017989818,0.019733017,0.021717429,0.02060024,0.018439306,0.024552554,0.016113002,0.015666701,0.01467864,0.046621993,0.009017917,0.071447917,0.059755989,0.05728961,0.009589798,0.088117685,0.003237432,0.014873231,0.005148217,0.05707399,0.010637614
60010.62688,0.01907883,0.023853748,0.025059456,0.017881417,0.019529031,0.02174566,0.020735847,0.018695927,0.024647446,0.016312899,0.015591595,0.014731123,0.046539223,0.008838109,0.071150135,0.059775217,0.057828868,0.009741277,0.087889711,0.003115189,0.014927136,0.005514939,0.056155422,0.010815096
60010.62763,0.019259255,0.023904939,0.0246559,0.018051782,0.019406737,0.021559559,0.020754785,0.018459528,0.024270651,0.016388919,0.015556553,0.014661409,0.046617428,0.009075739,0.071136226,0.059754001,0.057490974,0.009887501,0.088380797,0.00343528,0.014902979,0.005558018,0.056362174,0.010791817
60010.62838,0.019889804,0.024455535,0.025402201,0.018475724,0.019891482,0.022230135,-0.000277269,0.018992788,0.024965116,0.016526646,0.015966044,0.014571552,0.047724425,0.009163089,0.072942514,0.061439833,0.058876406,0.010033004,0.090296463,0.003074865,0.015338232,0.005475746,0.057412312,0.011271988
